Player,Team,Pos,Breakout Score,MPG Δ,PPG Δ,APG Δ,RPG Δ,SPG Δ,FT% Δ,FG% Δ,3P% Δ
Quentin Grimes,2TM,SG,6.4,6.7,7.6,1.7,2.3,0.3,0.1,9.5,4.7
Ochai Agbaji,TOR,SG,5.4,6.2,4.6,0.4,1.0,0.3,4.7,8.7,10.5
Christian Braun,DEN,SG,5.2,13.7,8.1,1.0,1.5,0.6,13.3,12.0,1.3
Jordan Poole,WAS,SG,4.3,-0.7,3.1,0.1,0.3,0.2,0.6,1.9,5.2
Josh Hart,NYK,SG,4.3,4.2,4.2,1.8,1.3,0.6,-1.5,9.1,2.3
Darius Garland,CLE,PG,4.0,-2.7,2.6,0.2,0.2,-0.1,4.4,2.6,3.0
Cameron Johnson,BRK,PF,3.8,4.0,5.4,1.0,0.0,0.1,10.4,2.9,-0.1
Dyson Daniels,ATL,SG,3.7,11.5,8.3,1.7,2.0,1.6,-4.9,4.6,2.9
Nikola Vučević,CHI,C,3.6,-3.1,0.5,0.2,-0.4,0.1,-1.7,4.6,10.8
Malik Beasley,DET,SG,3.5,-1.8,5.0,0.3,-1.1,0.2,-3.5,-1.3,0.3
Ausar Thompson,DET,SF,3.5,-2.6,1.3,0.4,-1.3,0.6,4.4,5.2,3.8
Jeremy Sochan,SAS,PF,3.3,-4.3,-0.2,-1.0,0.1,0.0,-7.5,9.7,0.0
Santi Aldama,MEM,PF,3.3,-1.0,1.8,0.6,0.6,0.1,7.0,4.8,1.9
Shaedon Sharpe,POR,SG,3.1,-1.8,2.6,-0.1,-0.5,0.0,-3.9,4.6,-2.2
Aaron Gordon,DEN,PF,2.9,-3.1,0.8,-0.3,-1.7,-0.3,15.2,-2.5,14.6
Coby White,CHI,SG,2.8,-3.4,1.3,-0.6,-0.8,0.2,6.4,0.6,-0.6
Andrew Wiggins,2TM,SF,2.7,3.7,4.8,0.9,0.0,0.4,1.2,-0.5,1.6
De'Andre Hunter,2TM,SF,2.7,-2.3,1.4,-0.1,0.1,0.1,-0.1,1.1,2.0
Tyler Herro,MIA,SG,2.6,1.9,3.1,1.0,-0.1,0.2,2.2,3.1,-2.1
Brandin Podziemski,GSW,SG,2.5,0.2,2.5,-0.3,-0.7,0.3,12.5,-0.9,-1.3
Norman Powell,LAC,SG,2.5,6.4,7.9,1.0,0.6,0.6,-2.7,-0.2,-1.7
Payton Pritchard,BOS,PG,2.4,6.1,4.7,0.1,0.6,0.4,2.4,0.4,2.2
Zion Williamson,NOP,PF,2.4,-2.9,1.7,0.3,1.4,0.1,-4.6,-0.3,-10.2
Naji Marshall,DAL,SF,2.3,8.8,6.1,1.1,1.2,0.3,2.2,4.5,-11.2
Kyle Anderson,2TM,PF,2.2,-6.2,-0.5,-1.8,-0.1,-0.2,3.0,0.9,12.8
Paolo Banchero,ORL,PF,2.2,-0.6,3.3,-0.6,0.6,-0.1,0.2,-0.3,-1.9
Royce O'Neale,PHO,SF,2.2,-0.2,1.4,-0.6,-0.1,0.2,4.5,2.6,3.6
Jaren Jackson Jr.,MEM,C,2.1,-2.4,-0.3,-0.3,0.1,0.0,-2.7,4.4,5.5
James Harden,LAC,PG,2.1,1.0,6.2,0.2,0.7,0.4,-0.4,-1.8,-2.9
Kenrich Williams,OKC,PF,2.1,1.5,1.6,0.1,0.5,0.0,21.8,1.5,-1.1
Daniel Gafford,DAL,C,2.0,-3.0,1.3,-0.2,-0.8,-0.5,1.5,-2.3,
Harrison Barnes,SAS,PF,2.0,-1.8,0.1,0.5,0.8,-0.2,0.8,3.4,4.6
Max Christie,2TM,SG,2.0,13.2,5.4,1.0,1.2,0.5,7.2,0.0,1.0
John Collins,UTA,PF,2.0,2.5,3.9,0.9,-0.3,0.4,5.3,-0.5,2.8
Evan Mobley,CLE,PF,1.9,-0.1,2.8,0.0,-0.1,0.0,0.6,-2.3,-0.3
Amir Coffey,LAC,SG,1.9,3.4,3.1,0.0,0.1,0.0,3.2,-0.1,2.9
Jaden Ivey,DET,SG,1.9,1.1,2.2,0.2,0.7,0.2,-1.6,3.1,7.3
Cade Cunningham,DET,PG,1.9,1.5,3.4,1.6,1.8,0.1,-2.3,2.0,0.1
Dorian Finney-Smith,2TM,PF,1.8,0.5,0.2,-0.2,-0.8,0.1,-5.0,2.7,6.3
Toumani Camara,POR,PF,1.8,7.9,3.8,1.0,0.9,0.6,-3.6,0.8,3.8
Jordan Clarkson,UTA,SG,1.8,-4.6,-0.9,-1.3,-0.2,0.2,-8.4,-0.5,6.8
Franz Wagner,ORL,SF,1.8,1.2,4.5,1.0,0.4,0.2,2.1,-1.9,1.4
Marcus Sasser,DET,PG,1.8,-4.8,-1.7,-1.0,-0.6,0.0,-3.6,3.5,0.7
Keon Ellis,SAC,SG,1.7,7.2,2.9,0.0,0.5,0.6,10.6,2.8,1.6
Trey Murphy III,NOP,SF,1.7,5.4,6.4,1.3,0.2,0.2,7.2,1.1,-1.9
Austin Reaves,LAL,SG,1.7,2.8,4.3,0.3,0.2,0.3,2.4,-2.6,1.0
Julian Champagnie,SAS,SF,1.6,3.8,3.1,0.0,1.1,0.1,8.9,0.7,0.6
Gradey Dick,TOR,SG,1.6,8.3,5.9,0.7,1.4,0.3,-0.5,-1.5,-1.5
Caris LeVert,2TM,SG,1.6,-3.9,-1.9,-1.7,-0.9,-0.2,-5.6,4.6,4.8
